Stockname,Date,Open,High,Low,Close,Adj Close,Volume,Returns
DAX,06/07/2018,12506.26953,12508.08008,12426.40039,12496.16992,12496.16992,0,0.100996094
DAX,09/07/2018,12541.74023,12559.96973,12490.40039,12543.88965,12543.88965,74724300,-0.021494141
DAX,10/07/2018,12580.30957,12639.79004,12530.70996,12609.84961,12609.84961,81853500,-0.295400391
DAX,11/07/2018,12506.99023,12514.75,12398.46973,12417.12988,12417.12988,84350300,0.898603516
DAX,12/07/2018,12464.05957,12505.2002,12408.62988,12492.96973,12492.96973,72314800,-0.289101563
DAX,13/07/2018,12549.23047,12583.79004,12499.2998,12540.73047,12540.73047,0,0.085
DAX,16/07/2018,12530.98047,12604.24023,12506.99023,12561.01953,12561.01953,97107500,-0.300390625
DAX,17/07/2018,12566.96973,12688.5,12522.0498,12661.54004,12661.54004,91976300,-0.945703125
DAX,18/07/2018,12728.41016,12778.95996,12715.51953,12765.94043,12765.94043,87635000,-0.375302734
DAX,19/07/2018,12740.67969,12759.41992,12658.37012,12686.29004,12686.29004,75493900,0.543896484
DAX,20/07/2018,12664.4502,12706.83984,12469.5,12561.41992,12561.41992,106490300,1.030302734
DAX,23/07/2018,12510.23047,12565.12012,12489.33008,12548.57031,12548.57031,65205400,-0.383398438
DAX,24/07/2018,12590.79004,12755.26953,12585.91016,12689.38965,12689.38965,90068800,-0.985996094
DAX,25/07/2018,12685.67969,12695.12012,12538.12012,12579.33008,12579.33008,80817800,1.063496094
DAX,26/07/2018,12732.87988,12827.70996,12701.55957,12809.23047,12809.23047,105931000,-0.763505859
DAX,27/07/2018,12825.75,12886.83008,12815.12012,12860.40039,12860.40039,95634400,-0.346503906
DAX,30/07/2018,12822.87012,12848.9502,12798.2002,12798.2002,12798.2002,70725000,0.246699219
DAX,31/07/2018,12809.74023,12860.58984,12739.83008,12805.5,12805.5,106509800,0.042402344
DAX,01/08/2018,12826.7002,12833.11035,12706.33984,12737.0498,12737.0498,93510500,0.896503906
DAX,02/08/2018,12617.62988,12619.59961,12493.2002,12546.33008,12546.33008,103271900,0.712998047
DAX,03/08/2018,12572.61035,12644.51953,12561.62012,12615.75977,12615.75977,79345300,-0.431494141
DAX,06/08/2018,12631.40039,12715.78027,12538.34961,12598.20996,12598.20996,65599400,0.331904297
DAX,07/08/2018,12656.87012,12738.53027,12646.16016,12648.19043,12648.19043,87114600,0.086796875
DAX,08/08/2018,12622.98047,12704.58008,12586.23047,12633.54004,12633.54004,89371000,-0.105595703
DAX,09/08/2018,12623.13965,12696.51953,12577.33984,12676.11035,12676.11035,71701900,-0.529707031
DAX,10/08/2018,12574.2002,12585.83008,12390.40039,12424.34961,12424.34961,0,1.498505859
DAX,13/08/2018,12346.75,12396.86035,12323.2002,12358.74023,12358.74023,92773600,-0.119902344
DAX,14/08/2018,12444.62988,12461.82031,12294.90039,12358.87012,12358.87012,82021800,0.857597656
DAX,15/08/2018,12400.26953,12428.55957,12120.65039,12163.00977,12163.00977,99703000,2.372597656
DAX,16/08/2018,12202.12988,12251.40039,12168.91992,12237.16992,12237.16992,81469900,-0.350400391
DAX,17/08/2018,12242.05957,12244.66992,12135.63965,12210.5498,12210.5498,86038300,0.315097656
DAX,20/08/2018,12263.00977,12373.36035,12245.55957,12331.2998,12331.2998,59670900,-0.682900391
DAX,21/08/2018,12320.55957,12432.66016,12316.34961,12384.49023,12384.49023,68597400,-0.639306641
DAX,22/08/2018,12355.53027,12438.66016,12345.32031,12385.7002,12385.7002,77192800,-0.301699219
DAX,23/08/2018,12367.48047,12411.00977,12353.5498,12365.58008,12365.58008,63669000,0.019003906
DAX,24/08/2018,12396.69043,12444.34961,12344.4502,12394.51953,12394.51953,59051400,0.021708984
DAX,27/08/2018,12462.75,12562.37012,12429.33984,12538.30957,12538.30957,52201900,-0.755595703
DAX,28/08/2018,12578.65039,12597.01953,12527.41992,12527.41992,12527.41992,72899400,0.512304688
DAX,29/08/2018,12553.86035,12569.05957,12499.53027,12561.67969,12561.67969,58192500,-0.078193359
DAX,30/08/2018,12516.5498,12529.2998,12400.12012,12494.24023,12494.24023,73686200,0.223095703
DAX,31/08/2018,12418.25977,12426.86035,12348.91016,12364.05957,12364.05957,90277000,0.542001953
DAX,03/09/2018,12338.36035,12358.16992,12300.46973,12346.41016,12346.41016,50769600,-0.080498047
DAX,04/09/2018,12389.45996,12402.87012,12162.70996,12210.20996,12210.20996,84476300,1.7925
DAX,05/09/2018,12161.65039,12167.36035,12035.75977,12040.45996,12040.45996,109489900,1.211904297
DAX,06/09/2018,11995.80957,12091.98047,11944.5,11955.25,11955.25,87442600,0.405595703
DAX,07/09/2018,11960.09961,11990.80957,11888.57031,11959.62988,11959.62988,101789700,0.004697266
DAX,10/09/2018,11950.5498,12039.21973,11930.2998,11986.33984,11986.33984,80490500,-0.357900391
DAX,11/09/2018,12013.00977,12017.73047,11865.46973,11970.26953,11970.26953,0,0.427402344
DAX,12/09/2018,11989.26953,12046.66016,11952.49023,12032.2998,12032.2998,112286500,-0.430302734
DAX,13/09/2018,12036.79004,12129.80957,12017.41016,12055.5498,12055.5498,97093400,-0.187597656
DAX,14/09/2018,12109.37012,12134.54004,12075.58008,12124.33008,12124.33008,77747100,-0.149599609
DAX,17/09/2018,12056.37988,12123.08984,12040.7998,12096.41016,12096.41016,69270000,-0.400302734
DAX,18/09/2018,12097.19043,12184.41016,12064.41016,12157.66992,12157.66992,84144700,-0.604794922
DAX,19/09/2018,12168.2002,12241.13965,12165.08008,12219.01953,12219.01953,98540100,-0.508193359
DAX,20/09/2018,12210.9502,12354.37988,12210.57031,12326.48047,12326.48047,110135400,-1.155302734
DAX,21/09/2018,12402.71973,12458.2998,12373.9502,12430.87988,12430.87988,400165400,-0.281601563
DAX,24/09/2018,12383.41992,12409.95996,12349.2998,12350.82031,12350.82031,0,0.325996094
DAX,25/09/2018,12341.84961,12416.87012,12322.19043,12374.66016,12374.66016,83206800,-0.328105469
