Stockname,Date,Volume
DAX,15/06/2021,272430000
DAX,16/06/2021,347150000
DAX,17/06/2021,354690000
DAX,18/06/2021,563920000
DAX,21/06/2021,317260000
DAX,22/06/2021,284130000
DAX,23/06/2021,255280000
DAX,24/06/2021,275870000
DAX,25/06/2021,432550000
DAX,28/06/2021,280280000
DAX,29/06/2021,282360000
DAX,30/06/2021,295560000
DAX,01/07/2021,268280000
DAX,02/07/2021,301860000
DAX,06/07/2021,348430000
DAX,07/07/2021,302700000
DAX,08/07/2021,335690000
DAX,09/07/2021,301750000
DAX,12/07/2021,294800000
DAX,13/07/2021,322430000
DAX,14/07/2021,344340000
DAX,15/07/2021,320450000
DAX,16/07/2021,322980000
DAX,19/07/2021,440440000
DAX,20/07/2021,387020000
DAX,21/07/2021,317090000
DAX,22/07/2021,291610000
DAX,23/07/2021,314040000
DAX,26/07/2021,259790000
DAX,27/07/2021,326610000
DAX,28/07/2021,347170000
DAX,29/07/2021,222680000
DAX,30/07/2021,276410000
DAX,02/08/2021,238620000
DAX,03/08/2021,259820000
DAX,04/08/2021,245300000
DAX,05/08/2021,216580000
DAX,06/08/2021,231570000
DAX,09/08/2021,207850000
DAX,10/08/2021,255040000
DAX,11/08/2021,232800000
DAX,12/08/2021,231600000
DAX,13/08/2021,236790000
DAX,16/08/2021,292590000
DAX,17/08/2021,309410000
DAX,18/08/2021,289800000
DAX,19/08/2021,333550000
DAX,20/08/2021,269320000
DAX,23/08/2021,245760000
DAX,24/08/2021,228710000
DAX,25/08/2021,237230000
DAX,26/08/2021,239740000
DAX,27/08/2021,240990000
DAX,30/08/2021,245390000
DAX,31/08/2021,337240000
DAX,01/09/2021,265520000
DAX,02/09/2021,263370000
DAX,03/09/2021,221370000
DAX,07/09/2021,289830000
DAX,08/09/2021,261880000
DAX,09/09/2021,261330000
