Stockname,Date,Open
FTSE100,08/10/2020,5946.299805
FTSE100,09/10/2020,5978
FTSE100,12/10/2020,6016.700195
FTSE100,13/10/2020,6001.399902
FTSE100,14/10/2020,5969.700195
FTSE100,15/10/2020,5935.100098
FTSE100,16/10/2020,5832.5
FTSE100,19/10/2020,5919.600098
FTSE100,20/10/2020,5884.700195
FTSE100,21/10/2020,5889.200195
FTSE100,22/10/2020,5776.5
FTSE100,23/10/2020,5785.700195
FTSE100,26/10/2020,5860.299805
FTSE100,27/10/2020,5792
FTSE100,28/10/2020,5729
FTSE100,29/10/2020,5582.799805
FTSE100,30/10/2020,5581.799805
FTSE100,02/11/2020,5577.299805
FTSE100,03/11/2020,5655
FTSE100,04/11/2020,5786.799805
FTSE100,05/11/2020,5883.299805
FTSE100,06/11/2020,5906.200195
FTSE100,09/11/2020,5910
FTSE100,10/11/2020,6186.299805
FTSE100,11/11/2020,6296.899902
FTSE100,12/11/2020,6382.100098
FTSE100,13/11/2020,6338.899902
FTSE100,16/11/2020,6316.399902
FTSE100,17/11/2020,6421.299805
FTSE100,18/11/2020,6365.299805
FTSE100,19/11/2020,6385.200195
FTSE100,20/11/2020,6334.399902
FTSE100,23/11/2020,6351.5
FTSE100,24/11/2020,6333.799805
FTSE100,25/11/2020,6432.200195
FTSE100,26/11/2020,6391.100098
FTSE100,27/11/2020,6362.899902
FTSE100,30/11/2020,6367.600098
FTSE100,01/12/2020,6266.200195
FTSE100,02/12/2020,6384.700195
FTSE100,03/12/2020,6463.399902
FTSE100,04/12/2020,6490.299805
FTSE100,07/12/2020,6550.200195
FTSE100,08/12/2020,6555.399902
FTSE100,09/12/2020,6558.799805
FTSE100,10/12/2020,6564.299805
FTSE100,11/12/2020,6599.799805
FTSE100,14/12/2020,6546.799805
FTSE100,15/12/2020,6531.799805
FTSE100,16/12/2020,6513.299805
FTSE100,17/12/2020,6570.899902
FTSE100,18/12/2020,6551.100098
FTSE100,21/12/2020,6529.200195
FTSE100,23/12/2020,6453.200195
FTSE100,24/12/2020,6495.799805
FTSE100,29/12/2020,6502.100098
FTSE100,30/12/2020,6602.700195
FTSE100,31/12/2020,6555.799805
FTSE100,04/01/2021,6460.5
FTSE100,05/01/2021,6571.899902
FTSE100,06/01/2021,6612.299805
FTSE100,07/01/2021,6841.899902
FTSE100,08/01/2021,6857
FTSE100,11/01/2021,6873.299805
FTSE100,12/01/2021,6798.5
FTSE100,13/01/2021,6754.100098
FTSE100,14/01/2021,6745.5
FTSE100,15/01/2021,6802
FTSE100,18/01/2021,6735.700195
FTSE100,19/01/2021,6720.700195
FTSE100,20/01/2021,6713
FTSE100,21/01/2021,6740.399902
FTSE100,22/01/2021,6715.399902
FTSE100,25/01/2021,6695.100098
FTSE100,26/01/2021,6638.899902
FTSE100,27/01/2021,6654
FTSE100,28/01/2021,6567.399902
FTSE100,29/01/2021,6526.200195
FTSE100,01/02/2021,6407.5
FTSE100,02/02/2021,6466.399902
FTSE100,03/02/2021,6516.700195
FTSE100,04/02/2021,6507.799805
FTSE100,05/02/2021,6503.700195
FTSE100,08/02/2021,6489.299805
FTSE100,09/02/2021,6523.5
FTSE100,10/02/2021,6531.600098
FTSE100,11/02/2021,6524.399902
FTSE100,12/02/2021,6528.700195
FTSE100,15/02/2021,6589.799805
FTSE100,16/02/2021,6756.100098
FTSE100,17/02/2021,6748.899902
FTSE100,18/02/2021,6710.899902
FTSE100,19/02/2021,6617.200195
FTSE100,22/02/2021,6624
FTSE100,23/02/2021,6612.200195
FTSE100,24/02/2021,6625.899902
FTSE100,25/02/2021,6659
FTSE100,26/02/2021,6652
FTSE100,01/03/2021,6483.399902
FTSE100,02/03/2021,6588.5
FTSE100,03/03/2021,6613.799805
FTSE100,04/03/2021,6675.5
FTSE100,05/03/2021,6650.899902
FTSE100,08/03/2021,6630.5
FTSE100,09/03/2021,6719.100098
FTSE100,10/03/2021,6730.299805
FTSE100,11/03/2021,6725.600098
FTSE100,12/03/2021,6737
FTSE100,15/03/2021,6761.5
FTSE100,16/03/2021,6749.700195
FTSE100,17/03/2021,6803.600098
FTSE100,18/03/2021,6762.700195
FTSE100,19/03/2021,6779.700195
FTSE100,22/03/2021,6708.700195
FTSE100,23/03/2021,6726.100098
FTSE100,24/03/2021,6699.200195
FTSE100,25/03/2021,6712.899902
FTSE100,26/03/2021,6674.799805
FTSE100,29/03/2021,6740.600098
FTSE100,30/03/2021,6736.200195
FTSE100,31/03/2021,6772.100098
FTSE100,01/04/2021,6713.600098
FTSE100,06/04/2021,6737.299805
FTSE100,07/04/2021,6823.600098
FTSE100,08/04/2021,6885.299805
FTSE100,09/04/2021,6942.200195
FTSE100,12/04/2021,6915.799805
FTSE100,13/04/2021,6889.100098
FTSE100,14/04/2021,6890.5
FTSE100,15/04/2021,6939.600098
FTSE100,16/04/2021,6983.5
FTSE100,19/04/2021,7019.5
FTSE100,20/04/2021,7000.100098
FTSE100,21/04/2021,6859.899902
FTSE100,22/04/2021,6895.299805
FTSE100,23/04/2021,6938.200195
FTSE100,26/04/2021,6938.600098
FTSE100,27/04/2021,6963.100098
FTSE100,28/04/2021,6945
FTSE100,29/04/2021,6963.700195
FTSE100,30/04/2021,6961.5
FTSE100,04/05/2021,6969.799805
FTSE100,05/05/2021,6923.200195
FTSE100,06/05/2021,7039.299805
FTSE100,07/05/2021,7076.200195
FTSE100,10/05/2021,7129.700195
FTSE100,11/05/2021,7123.700195
FTSE100,12/05/2021,6948
FTSE100,13/05/2021,7004.600098
FTSE100,14/05/2021,6963.299805
FTSE100,17/05/2021,7043.600098
FTSE100,18/05/2021,7032.899902
FTSE100,19/05/2021,7034.200195
FTSE100,20/05/2021,6950.200195
FTSE100,21/05/2021,7019.799805
FTSE100,24/05/2021,7018.100098
FTSE100,25/05/2021,7051.600098
FTSE100,26/05/2021,7029.799805
FTSE100,27/05/2021,7026.899902
FTSE100,28/05/2021,7019.700195
FTSE100,01/06/2021,7022.600098
FTSE100,02/06/2021,7080.5
FTSE100,03/06/2021,7108
FTSE100,04/06/2021,7064.399902
FTSE100,07/06/2021,7069
FTSE100,08/06/2021,7077.200195
FTSE100,09/06/2021,7095.100098
FTSE100,10/06/2021,7081
FTSE100,11/06/2021,7088.200195
FTSE100,14/06/2021,7134.100098
FTSE100,15/06/2021,7146.700195
FTSE100,16/06/2021,7172.5
FTSE100,17/06/2021,7185
FTSE100,18/06/2021,7153.399902
FTSE100,21/06/2021,7017.5
FTSE100,22/06/2021,7062.299805
FTSE100,23/06/2021,7090
FTSE100,24/06/2021,7074.100098
FTSE100,25/06/2021,7110
FTSE100,28/06/2021,7136.100098
FTSE100,29/06/2021,7073
FTSE100,30/06/2021,7087.600098
FTSE100,01/07/2021,7037.5
FTSE100,02/07/2021,7125.200195
FTSE100,05/07/2021,7123.299805
FTSE100,06/07/2021,7164.899902
FTSE100,07/07/2021,7100.899902
