Cryptocurrency,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,R,Returns
Bitcoin,21/07/2018,7352.720215,7437.640137,7262.410156,7419.290039,7419.290039,3726609920,2%,0.008860349,0.886034885
Bitcoin,22/07/2018,7417.799805,7537.950195,7383.819824,7418.490234,7418.490234,3695460096,2%,-0.000107801,-0.01078007
Bitcoin,23/07/2018,7414.709961,7771.5,7409.100098,7711.109863,7711.109863,5132480000,5%,0.039444634,3.944463357
Bitcoin,24/07/2018,7716.509766,8424.269531,7705.5,8424.269531,8424.269531,7277689856,9%,0.092484698,9.248469813
Bitcoin,25/07/2018,8379.660156,8416.870117,8086.359863,8181.390137,8181.390137,5845400064,4%,-0.028830914,-2.883091449
Bitcoin,26/07/2018,8176.850098,8290.330078,7878.709961,7951.580078,7951.580078,4899089920,5%,-0.028089366,-2.808936559
Bitcoin,27/07/2018,7950.399902,8262.660156,7839.759766,8165.009766,8165.009766,5195879936,5%,0.026841167,2.684116684
Bitcoin,28/07/2018,8169.060059,8222.849609,8110.77002,8192.150391,8192.150391,3988750080,1%,0.003324016,0.332401623
Bitcoin,29/07/2018,8205.820313,8272.259766,8141.180176,8218.459961,8218.459961,4107190016,2%,0.003211559,0.321155851
Bitcoin,30/07/2018,8221.580078,8235.5,7917.5,8180.47998,8180.47998,5551400000,4%,-0.004621301,-0.462130139
Bitcoin,31/07/2018,8181.200195,8181.529785,7696.930176,7780.439941,7780.439941,5287530000,6%,-0.048901781,-4.890178083
Bitcoin,01/08/2018,7769.040039,7769.040039,7504.950195,7624.910156,7624.910156,4797620000,3%,-0.019989845,-1.998984458
Bitcoin,02/08/2018,7634.189941,7712.77002,7523.439941,7567.149902,7567.149902,4214110000,2%,-0.007575205,-0.757520452
