Stockname,Date,Open,Volume,Returns
NASDAQ,23/03/2018,7170.680176,2390410000,1.780102539
NASDAQ,26/03/2018,7125.200195,2326060000,-0.953398438
NASDAQ,27/03/2018,7255.470215,2325990000,2.466601563
NASDAQ,28/03/2018,6978.299805,2518670000,0.290698242
NASDAQ,29/03/2018,6984.660156,2554500000,-0.787900391
NASDAQ,02/04/2018,7016.169922,2394730000,1.460498047
NASDAQ,03/04/2018,6924.350098,2328510000,-0.169296875
NASDAQ,04/04/2018,6811.77002,2254070000,-2.303398438
NASDAQ,05/04/2018,7099.25,2124660000,0.227001953
NASDAQ,06/04/2018,6999.569824,2350540000,0.844599609
NASDAQ,09/04/2018,6971.450195,2080900000,0.211103516
NASDAQ,10/04/2018,7060.990234,2238770000,-0.333095703
NASDAQ,11/04/2018,7055,1852120000,-0.140297852
NASDAQ,12/04/2018,7112.02002,2021110000,-0.282299805
NASDAQ,13/04/2018,7179.620117,1743640000,0.729702148
NASDAQ,16/04/2018,7153.870117,1795950000,-0.02409668
NASDAQ,17/04/2018,7215.120117,1913230000,-0.659799805
NASDAQ,18/04/2018,7292.379883,1893220000,-0.028603516
NASDAQ,19/04/2018,7258.609863,1963950000,0.205498047
NASDAQ,20/04/2018,7220.640137,1921790000,0.745102539
NASDAQ,23/04/2018,7173.990234,1737370000,0.453901367
NASDAQ,24/04/2018,7160.77002,2149250000,1.534199219
NASDAQ,25/04/2018,7009.990234,2026690000,0.0625
NASDAQ,26/04/2018,7080.490234,2127140000,-0.381899414
NASDAQ,27/04/2018,7195.52002,2027530000,0.757202148
NASDAQ,30/04/2018,7133.950195,1987020000,0.676801758
NASDAQ,01/05/2018,7053.649902,1929110000,-0.77050293
NASDAQ,02/05/2018,7138.450195,2144200000,0.37550293
NASDAQ,03/05/2018,7065.029785,2345740000,-0.231201172
NASDAQ,04/05/2018,7065.669922,2022230000,-1.439501953
NASDAQ,07/05/2018,7241.819824,1939980000,-0.233901367
NASDAQ,08/05/2018,7255.339844,2054830000,-0.115600586
NASDAQ,09/05/2018,7281.529785,2241480000,-0.583803711
NASDAQ,10/05/2018,7355.899902,2233460000,-0.490703125
NASDAQ,11/05/2018,7393.970215,2083030000,-0.08909668
NASDAQ,14/05/2018,7429.450195,2075670000,0.181303711
NASDAQ,15/05/2018,7361.299805,2114040000,0.096699219
NASDAQ,16/05/2018,7356.220215,2083660000,-0.420795898
NASDAQ,17/05/2018,7379.580078,1931700000,-0.028901367
NASDAQ,18/05/2018,7364.339844,1966710000,0.1
NASDAQ,21/05/2018,7406.339844,1949100000,0.122998047
NASDAQ,22/05/2018,7420.850098,1908280000,0.423901367
NASDAQ,23/05/2018,7335.029785,1980450000,-0.909301758
NASDAQ,24/05/2018,7421.990234,1992460000,-0.024399414
NASDAQ,25/05/2018,7422.200195,1757660000,-0.116499023
NASDAQ,29/05/2018,7398.509766,2087370000,0.019199219
NASDAQ,30/05/2018,7428.410156,2049450000,-0.340400391
NASDAQ,31/05/2018,7455.580078,2514610000,0.134599609
NASDAQ,01/06/2018,7487.660156,2208600000,-0.666699219
NASDAQ,04/06/2018,7570.080078,2142790000,-0.363798828
NASDAQ,05/06/2018,7621.359863,2058630000,-0.165
NASDAQ,06/06/2018,7652.799805,2191750000,-0.364404297
NASDAQ,07/06/2018,7697.410156,2328280000,0.62340332
NASDAQ,08/06/2018,7607.740234,1941580000,-0.377695313
NASDAQ,11/06/2018,7647.240234,1942940000,-0.126899414
NASDAQ,12/06/2018,7673.870117,2006760000,-0.299199219
NASDAQ,13/06/2018,7713.899902,2172770000,0.18199707
NASDAQ,14/06/2018,7723.529785,2188230000,-0.375102539
NASDAQ,15/06/2018,7725.029785,3043790000,-0.213500977
NASDAQ,18/06/2018,7692.959961,2093950000,-0.540698242
NASDAQ,19/06/2018,7658.470215,2269000000,-0.671196289
NASDAQ,20/06/2018,7764.149902,2305100000,-0.173598633
NASDAQ,21/06/2018,7800.299805,2315880000,0.873496094
NASDAQ,22/06/2018,7739.689941,3928340000,0.468701172
NASDAQ,25/06/2018,7631.120117,2415090000,0.991103516
NASDAQ,26/06/2018,7553.740234,2058640000,-0.078896484
NASDAQ,27/06/2018,7586.330078,2306430000,1.4125
NASDAQ,28/06/2018,7438.109863,2195400000,-0.655703125
NASDAQ,29/06/2018,7544.129883,2192010000,0.338300781
NASDAQ,02/07/2018,7451.899902,1767910000,-1.157900391
NASDAQ,03/07/2018,7593.629883,1179310000,0.909599609
NASDAQ,05/07/2018,7550.660156,1745030000,-0.357700195
NASDAQ,06/07/2018,7595.930176,1704580000,-0.924599609
NASDAQ,09/07/2018,7731.740234,1837330000,-0.244599609
NASDAQ,10/07/2018,7770.629883,1725210000,0.114296875
NASDAQ,11/07/2018,7698.509766,1761420000,-0.181000977
NASDAQ,12/07/2018,7752.709961,1926110000,-0.712099609
NASDAQ,13/07/2018,7827.620117,1714140000,0.016401367
NASDAQ,16/07/2018,7831.740234,1730190000,0.260200195
NASDAQ,17/07/2018,7751.970215,1740680000,-1.031499023
NASDAQ,18/07/2018,7859.430176,1857670000,0.049902344
NASDAQ,19/07/2018,7829.799805,1853030000,0.045
NASDAQ,20/07/2018,7843.080078,1786250000,0.228798828
NASDAQ,23/07/2018,7806.930176,1654290000,-0.349399414
NASDAQ,24/07/2018,7914.350098,2014850000,0.735800781
NASDAQ,25/07/2018,7839.089844,1902790000,-0.931503906
NASDAQ,26/07/2018,7848.040039,2263070000,-0.041401367
NASDAQ,27/07/2018,7889.75,2176170000,1.523300781
NASDAQ,30/07/2018,7735.27002,2143410000,1.052700195
NASDAQ,31/07/2018,7654.589844,2195050000,-0.172001953
NASDAQ,01/08/2018,7701.819824,2223550000,-0.054702148
NASDAQ,02/08/2018,7659.52002,2081300000,-1.431699219
NASDAQ,03/08/2018,7819.22998,2018700000,0.072202148
NASDAQ,06/08/2018,7809.540039,2238170000,-0.501401367
NASDAQ,07/08/2018,7878.620117,2197590000,-0.050400391
NASDAQ,08/08/2018,7880,2087850000,-0.083300781
NASDAQ,09/08/2018,7886.52002,2032950000,-0.052597656
NASDAQ,10/08/2018,7834.709961,2095180000,-0.043999023
NASDAQ,13/08/2018,7848,1914240000,0.282900391
NASDAQ,14/08/2018,7847.879883,1917360000,-0.230102539
NASDAQ,15/08/2018,7810.02002,2286960000,0.358999023
NASDAQ,16/08/2018,7826.950195,1979540000,0.204301758
NASDAQ,17/08/2018,7786.640137,1843150000,-0.296899414
NASDAQ,20/08/2018,7834.370117,1698970000,0.133603516
NASDAQ,21/08/2018,7840.089844,1766630000,-0.190800781
NASDAQ,22/08/2018,7844.040039,1660460000,-0.450600586
NASDAQ,23/08/2018,7886.470215,1879890000,0.080102539
NASDAQ,24/08/2018,7907.810059,1886600000,-0.381699219
NASDAQ,27/08/2018,7989.640137,2319130000,-0.282597656
NASDAQ,28/08/2018,8039.009766,1961300000,0.089697266
NASDAQ,29/08/2018,8044.339844,1897000000,-0.653500977
NASDAQ,30/08/2018,8094.200195,2014450000,0.05840332
NASDAQ,31/08/2018,8079.310059,1899910000,-0.302299805
NASDAQ,04/09/2018,8087.950195,2229520000,-0.032998047
NASDAQ,05/09/2018,8073.529785,2596780000,0.783598633
NASDAQ,06/09/2018,7998.27002,2368680000,0.755400391
NASDAQ,07/09/2018,7878.790039,2146380000,-0.2375
NASDAQ,10/09/2018,7939.569824,2041450000,0.15409668
NASDAQ,11/09/2018,7894.870117,2336600000,-0.776000977
NASDAQ,12/09/2018,7958.870117,2341850000,0.046401367
NASDAQ,13/09/2018,7999.930176,2318720000,-0.137797852
NASDAQ,14/09/2018,8026.160156,2033720000,0.161201172
NASDAQ,17/09/2018,7992.209961,2284140000,0.964199219
NASDAQ,18/09/2018,7903.569824,2317990000,-0.525400391
NASDAQ,19/09/2018,7962.549805,2156730000,0.125097656
NASDAQ,20/09/2018,7993.529785,2287150000,-0.347001953
NASDAQ,21/09/2018,8041.689941,3706820000,0.547299805
